complaint_id,created_at,channel,citizen_comment,complaint_category,department,district,village,sentiment,urgency_level,priority_score,status,response_time_hours,resolution_time_days,sla_met,engagement_score,year,month,month_name,quarter,day_of_week,is_resolved,sla_met_flag,is_critical,priority_bucket
CMP-09045,2024-01-04 12:12:28,Website,Tempat pembuangan di Sisir sudah penuh.,Waste Management,Dinas Lingkungan Hidup,Bumiaji,Sisir,Negative,High,80,In Progress,14.8,,No,1021,2024,1,January,1,Thursday,0,0,0,High
CMP-01221,2024-01-04 14:53:16,Instagram,Banyak lubang di jalan Punten yang mengganggu kendaraan.,Road Infrastructure,Dinas PUPR,Bumiaji,Punten,Negative,High,75,Open,15.66,,No,1499,2024,1,January,1,Thursday,0,0,0,High
CMP-07894,2024-01-04 16:37:25,WhatsApp,Pelayanan wisata di Sisir belum optimal.,Tourism Services,Dinas Pariwisata,Batu,Sisir,Negative,Medium,48,In Progress,10.32,,Yes,2983,2024,1,January,1,Thursday,0,1,0,Medium
CMP-05128,2024-01-04 17:28:46,TikTok,Sampah menumpuk di area Mojorejo dan belum diangkut.,Waste Management,Dinas Lingkungan Hidup,Batu,Mojorejo,Negative,Low,15,In Progress,98.21,,No,4667,2024,1,January,1,Thursday,0,0,0,Low
CMP-04041,2024-01-04 19:03:59,LAPOR!,Trotoar di Tulungrejo dipenuhi aktivitas yang menghambat pejalan kaki.,Public Safety,Satpol PP,Bumiaji,Tulungrejo,Negative,High,82,Open,12.24,,No,1180,2024,1,January,1,Thursday,0,0,0,High
CMP-01424,2024-01-05 02:32:50,Call Center,Ketertiban umum di Punten perlu ditingkatkan.,Public Safety,Satpol PP,Junrejo,Punten,Neutral,Low,27,In Progress,65.25,,Yes,3192,2024,1,January,1,Friday,0,1,0,Low
CMP-09596,2024-01-05 02:33:45,TikTok,Distribusi air di Dadaprejo sering terhenti.,Clean Water,PDAM,Bumiaji,Dadaprejo,Neutral,Low,12,In Progress,107.02,,No,4741,2024,1,January,1,Friday,0,0,0,Low
CMP-00652,2024-01-05 03:56:09,Instagram,Proses pembuatan dokumen di Dadaprejo kurang efisien.,Administrative Services,Dinas Kependudukan,Junrejo,Dadaprejo,Neutral,Medium,44,Resolved,30.38,6.64,No,2142,2024,1,January,1,Friday,1,0,0,Medium
CMP-08326,2024-01-05 04:17:01,LAPOR!,Lampu jalan rusak di kawasan Temas.,Street Lighting,Dinas Perhubungan,Batu,Temas,Negative,Low,34,Resolved,50.2,4.21,Yes,3561,2024,1,January,1,Friday,1,1,0,Low
CMP-07423,2024-01-05 06:23:47,Call Center,Banyak kendaraan parkir sembarangan di Dadaprejo.,Illegal Parking,Dinas Perhubungan,Junrejo,Dadaprejo,Negative,High,84,In Progress,14.41,,No,3050,2024,1,January,1,Friday,0,0,0,High
CMP-00364,2024-01-05 09:13:58,Instagram,Jalan di wilayah Ngaglik berlubang dan membahayakan pengguna.,Road Infrastructure,Dinas PUPR,Bumiaji,Ngaglik,Neutral,Medium,64,Resolved,32.62,7.3,No,4028,2024,1,January,1,Friday,1,0,0,Medium
CMP-09190,2024-01-05 10:19:35,Call Center,Penerangan jalan di Tulungrejo sangat minim.,Street Lighting,Dinas Perhubungan,Batu,Tulungrejo,Negative,High,71,In Progress,20.29,,No,4257,2024,1,January,1,Friday,0,0,0,High
CMP-05107,2024-01-05 12:13:59,Instagram,Tempat pembuangan di Mojorejo sudah penuh.,Waste Management,Dinas Lingkungan Hidup,Bumiaji,Mojorejo,Negative,Critical,90,In Progress,0.62,,Yes,3892,2024,1,January,1,Friday,0,1,1,Critical
CMP-02720,2024-01-05 13:18:19,Instagram,Banyak kendaraan parkir sembarangan di Mojorejo.,Illegal Parking,Dinas Perhubungan,Bumiaji,Mojorejo,Neutral,High,84,In Progress,4.61,,Yes,1004,2024,1,January,1,Friday,0,1,0,High
CMP-04061,2024-01-05 16:25:07,TikTok,Fasilitas wisata di Songgokerto perlu ditingkatkan.,Tourism Services,Dinas Pariwisata,Bumiaji,Songgokerto,Neutral,Low,15,In Progress,56.22,,Yes,1666,2024,1,January,1,Friday,0,1,0,Low
CMP-01713,2024-01-05 18:04:12,WhatsApp,Sampah menumpuk di area Tulungrejo dan belum diangkut.,Waste Management,Dinas Lingkungan Hidup,Batu,Tulungrejo,Negative,Medium,61,In Progress,22.1,,Yes,4306,2024,1,January,1,Friday,0,1,0,Medium
CMP-09400,2024-01-05 20:44:42,TikTok,Trotoar di Beji dipenuhi aktivitas yang menghambat pejalan kaki.,Public Safety,Satpol PP,Batu,Beji,Negative,Low,12,In Progress,24.31,,Yes,950,2024,1,January,1,Friday,0,1,0,Low
CMP-05607,2024-01-05 21:31:35,Call Center,Tekanan air di Ngaglik sangat kecil.,Clean Water,PDAM,Junrejo,Ngaglik,Negative,Low,33,Resolved,90.29,6.33,No,1710,2024,1,January,1,Friday,1,0,0,Low
CMP-02425,2024-01-05 23:40:22,Website,Parkir liar di Songgokerto mengganggu akses jalan.,Illegal Parking,Dinas Perhubungan,Bumiaji,Songgokerto,Neutral,Medium,65,Resolved,22.47,9.48,Yes,3453,2024,1,January,1,Friday,1,1,0,Medium
CMP-03793,2024-01-06 01:36:39,Website,Fasilitas wisata di Sisir perlu ditingkatkan.,Tourism Services,Dinas Pariwisata,Junrejo,Sisir,Negative,Medium,42,Resolved,41.7,4.41,No,4913,2024,1,January,1,Saturday,1,0,0,Medium
CMP-06412,2024-01-06 01:51:18,LAPOR!,Air PDAM di Dadaprejo keruh dan tidak layak digunakan.,Clean Water,PDAM,Junrejo,Dadaprejo,Negative,High,78,In Progress,10.26,,No,4896,2024,1,January,1,Saturday,0,0,0,High
CMP-03138,2024-01-06 05:01:04,Website,Sampah menumpuk di area Tulungrejo dan belum diangkut.,Waste Management,Dinas Lingkungan Hidup,Bumiaji,Tulungrejo,Negative,High,80,In Progress,16.36,,No,1503,2024,1,January,1,Saturday,0,0,0,High
CMP-03176,2024-01-06 07:30:14,LAPOR!,Akses WiFi publik di Mojorejo tidak dapat digunakan.,Public WiFi,DISKOMINFO,Batu,Mojorejo,Negative,High,88,Open,4.66,,Yes,1389,2024,1,January,1,Saturday,0,1,0,High
CMP-05630,2024-01-06 08:15:07,LAPOR!,Pelayanan wisata di Beji belum optimal.,Tourism Services,Dinas Pariwisata,Junrejo,Beji,Negative,Low,24,Resolved,94.76,9.67,No,3798,2024,1,January,1,Saturday,1,0,0,Low
CMP-00846,2024-01-06 08:49:12,WhatsApp,Penerangan jalan di Punten sangat minim.,Street Lighting,Dinas Perhubungan,Junrejo,Punten,Negative,Low,23,Resolved,75.5,5.96,No,3602,2024,1,January,1,Saturday,1,0,0,Low
CMP-08626,2024-01-06 11:12:43,WhatsApp,Informasi destinasi wisata di Temas kurang jelas.,Tourism Services,Dinas Pariwisata,Batu,Temas,Negative,Medium,63,Open,25.26,,No,4483,2024,1,January,1,Saturday,0,0,0,Medium
CMP-07142,2024-01-06 12:02:40,Website,Banyak lubang di jalan Songgokerto yang mengganggu kendaraan.,Road Infrastructure,Dinas PUPR,Batu,Songgokerto,Negative,High,73,Resolved,6.97,5.21,Yes,4018,2024,1,January,1,Saturday,1,1,0,High
CMP-05362,2024-01-06 16:37:55,WhatsApp,Distribusi air di Mojorejo sering terhenti.,Clean Water,PDAM,Batu,Mojorejo,Neutral,Low,25,Resolved,56.59,12.7,Yes,4032,2024,1,January,1,Saturday,1,1,0,Low
CMP-04804,2024-01-06 18:47:13,Call Center,Air PDAM di Mojorejo keruh dan tidak layak digunakan.,Clean Water,PDAM,Batu,Mojorejo,Negative,Low,21,Open,60.8,,Yes,437,2024,1,January,1,Saturday,0,1,0,Low
CMP-02298,2024-01-06 21:29:11,WhatsApp,Pelayanan administrasi di Temas terlalu lama.,Administrative Services,Dinas Kependudukan,Batu,Temas,Negative,Low,28,In Progress,47.38,,Yes,3071,2024,1,January,1,Saturday,0,1,0,Low
CMP-00919,2024-01-06 21:46:11,Instagram,Distribusi air di Mojorejo sering terhenti.,Clean Water,PDAM,Batu,Mojorejo,Neutral,Low,36,Resolved,111.3,10.41,No,44,2024,1,January,1,Saturday,1,0,0,Low
CMP-03123,2024-01-06 23:50:32,LAPOR!,Drainase di Tulungrejo tidak berfungsi dengan baik.,Flooding,Dinas PUPR,Bumiaji,Tulungrejo,Negative,Medium,50,Resolved,11.04,2.57,Yes,1466,2024,1,January,1,Saturday,1,1,0,Medium
CMP-07853,2024-01-07 01:09:46,Instagram,Ketertiban umum di Punten perlu ditingkatkan.,Public Safety,Satpol PP,Batu,Punten,Negative,Critical,94,Open,0.92,,Yes,892,2024,1,January,1,Sunday,0,1,1,Critical
CMP-00028,2024-01-07 01:49:59,Call Center,Parkir liar di kawasan Punten menyebabkan kemacetan.,Illegal Parking,Dinas Perhubungan,Junrejo,Punten,Negative,High,87,Open,8.2,,No,1735,2024,1,January,1,Sunday,0,0,0,High
CMP-08000,2024-01-07 02:42:44,Instagram,Trotoar di Dadaprejo dipenuhi aktivitas yang menghambat pejalan kaki.,Public Safety,Satpol PP,Bumiaji,Dadaprejo,Negative,High,78,Open,21.04,,No,3604,2024,1,January,1,Sunday,0,0,0,High
CMP-00168,2024-01-07 08:26:16,LAPOR!,Tekanan air di Ngaglik sangat kecil.,Clean Water,PDAM,Bumiaji,Ngaglik,Negative,Medium,41,In Progress,30.81,,No,1604,2024,1,January,1,Sunday,0,0,0,Medium
CMP-08595,2024-01-07 08:46:23,LAPOR!,Parkir liar di Ngaglik mengganggu akses jalan.,Illegal Parking,Dinas Perhubungan,Bumiaji,Ngaglik,Neutral,High,81,Open,20.22,,No,1874,2024,1,January,1,Sunday,0,0,0,High
CMP-06991,2024-01-07 10:11:47,WhatsApp,Jaringan internet gratis di Songgokerto sering putus.,Public WiFi,DISKOMINFO,Bumiaji,Songgokerto,Neutral,Medium,68,Resolved,32.1,7.72,No,3369,2024,1,January,1,Sunday,1,0,0,Medium
CMP-02628,2024-01-07 11:30:20,WhatsApp,Banjir kecil mengganggu aktivitas warga di Ngaglik.,Flooding,Dinas PUPR,Batu,Ngaglik,Negative,Medium,40,In Progress,36.06,,No,1474,2024,1,January,1,Sunday,0,0,0,Medium
CMP-08194,2024-01-07 11:45:34,WhatsApp,Air PDAM di Tulungrejo keruh dan tidak layak digunakan.,Clean Water,PDAM,Junrejo,Tulungrejo,Neutral,Low,26,In Progress,78.99,,No,4389,2024,1,January,1,Sunday,0,0,0,Low
CMP-03221,2024-01-07 13:12:20,WhatsApp,Banyak kendaraan parkir sembarangan di Beji.,Illegal Parking,Dinas Perhubungan,Batu,Beji,Negative,Medium,48,In Progress,35.47,,No,2847,2024,1,January,1,Sunday,0,0,0,Medium
CMP-05401,2024-01-07 15:23:58,Call Center,Banyak kendaraan parkir sembarangan di Beji.,Illegal Parking,Dinas Perhubungan,Batu,Beji,Negative,Medium,57,Resolved,8.85,4.28,Yes,3313,2024,1,January,1,Sunday,1,1,0,Medium
CMP-03924,2024-01-07 16:34:50,Call Center,Genangan air sering terjadi di Beji saat hujan.,Flooding,Dinas PUPR,Batu,Beji,Neutral,Medium,50,Resolved,41.64,5.51,No,1048,2024,1,January,1,Sunday,1,0,0,Medium
CMP-02345,2024-01-07 16:41:27,TikTok,Parkir liar di kawasan Ngaglik menyebabkan kemacetan.,Illegal Parking,Dinas Perhubungan,Batu,Ngaglik,Neutral,High,78,Open,8.49,,No,2387,2024,1,January,1,Sunday,0,0,0,High
CMP-06263,2024-01-08 00:43:40,WhatsApp,Pelayanan administrasi di Sisir terlalu lama.,Administrative Services,Dinas Kependudukan,Bumiaji,Sisir,Negative,High,81,In Progress,18.56,,No,303,2024,1,January,1,Monday,0,0,0,High
CMP-06551,2024-01-08 05:17:09,WhatsApp,Banyak lubang di jalan Beji yang mengganggu kendaraan.,Road Infrastructure,Dinas PUPR,Batu,Beji,Neutral,High,83,Open,19.72,,No,1611,2024,1,January,1,Monday,0,0,0,High
CMP-05786,2024-01-08 06:22:12,Instagram,Tekanan air di Mojorejo sangat kecil.,Clean Water,PDAM,Junrejo,Mojorejo,Negative,Low,24,In Progress,83.43,,No,3497,2024,1,January,1,Monday,0,0,0,Low
CMP-06874,2024-01-08 07:59:22,Call Center,Air PDAM di Dadaprejo keruh dan tidak layak digunakan.,Clean Water,PDAM,Batu,Dadaprejo,Neutral,Low,27,Open,51.33,,Yes,967,2024,1,January,1,Monday,0,1,0,Low
CMP-06052,2024-01-08 10:22:24,LAPOR!,Pelayanan wisata di Punten belum optimal.,Tourism Services,Dinas Pariwisata,Batu,Punten,Neutral,High,79,Open,16.42,,No,3559,2024,1,January,1,Monday,0,0,0,High
CMP-00937,2024-01-08 11:34:19,Instagram,WiFi publik di Temas sangat lambat.,Public WiFi,DISKOMINFO,Junrejo,Temas,Negative,High,77,In Progress,10.48,,No,4939,2024,1,January,1,Monday,0,0,0,High
CMP-08349,2024-01-08 12:15:11,LAPOR!,Banyak kendaraan parkir sembarangan di Punten.,Illegal Parking,Dinas Perhubungan,Junrejo,Punten,Neutral,Medium,63,Open,21.91,,Yes,914,2024,1,January,1,Monday,0,1,0,Medium
CMP-03366,2024-01-08 12:16:01,Website,Tekanan air di Sisir sangat kecil.,Clean Water,PDAM,Junrejo,Sisir,Negative,Medium,45,Resolved,14.71,5.04,Yes,113,2024,1,January,1,Monday,1,1,0,Medium
CMP-05959,2024-01-08 13:48:01,WhatsApp,Aspal rusak parah di daerah Punten dan belum diperbaiki.,Road Infrastructure,Dinas PUPR,Bumiaji,Punten,Negative,Medium,51,Resolved,40.57,2.63,No,3866,2024,1,January,1,Monday,1,0,0,Medium
CMP-02090,2024-01-08 15:29:48,LAPOR!,Distribusi air di Songgokerto sering terhenti.,Clean Water,PDAM,Batu,Songgokerto,Negative,Critical,97,Resolved,1.31,3.47,Yes,561,2024,1,January,1,Monday,1,1,1,Critical
CMP-04279,2024-01-08 19:10:34,Instagram,WiFi publik di Beji sangat lambat.,Public WiFi,DISKOMINFO,Bumiaji,Beji,Negative,High,70,In Progress,16.95,,No,3218,2024,1,January,1,Monday,0,0,0,High
CMP-06307,2024-01-08 19:40:33,WhatsApp,Distribusi air di Mojorejo sering terhenti.,Clean Water,PDAM,Bumiaji,Mojorejo,Neutral,Critical,94,Resolved,2.57,3.75,No,1686,2024,1,January,1,Monday,1,0,1,Critical
CMP-04227,2024-01-08 19:55:19,TikTok,Genangan air sering terjadi di Temas saat hujan.,Flooding,Dinas PUPR,Batu,Temas,Neutral,Medium,63,In Progress,14.65,,Yes,4845,2024,1,January,1,Monday,0,1,0,Medium
CMP-04055,2024-01-08 21:21:32,WhatsApp,Drainase di Punten tidak berfungsi dengan baik.,Flooding,Dinas PUPR,Batu,Punten,Negative,Low,17,In Progress,88.67,,No,1873,2024,1,January,1,Monday,0,0,0,Low
CMP-02039,2024-01-09 00:26:29,LAPOR!,Penerangan jalan di Gunungsari sangat minim.,Street Lighting,Dinas Perhubungan,Junrejo,Gunungsari,Negative,Low,12,In Progress,64.86,,Yes,1211,2024,1,January,1,Tuesday,0,1,0,Low
CMP-06529,2024-01-09 03:25:56,Instagram,Drainase di Gunungsari tidak berfungsi dengan baik.,Flooding,Dinas PUPR,Bumiaji,Gunungsari,Negative,Critical,92,In Progress,3.35,,No,4612,2024,1,January,1,Tuesday,0,0,1,Critical
CMP-08465,2024-01-09 05:49:37,LAPOR!,Parkir liar di kawasan Songgokerto menyebabkan kemacetan.,Illegal Parking,Dinas Perhubungan,Bumiaji,Songgokerto,Neutral,High,79,Resolved,15.08,4.44,No,67,2024,1,January,1,Tuesday,1,0,0,High
CMP-07443,2024-01-09 14:33:09,LAPOR!,Trotoar di Punten dipenuhi aktivitas yang menghambat pejalan kaki.,Public Safety,Satpol PP,Junrejo,Punten,Negative,Critical,90,Resolved,4.6,1.84,No,928,2024,1,January,1,Tuesday,1,0,1,Critical
CMP-01333,2024-01-09 16:39:51,Instagram,Jalan di wilayah Mojorejo berlubang dan membahayakan pengguna.,Road Infrastructure,Dinas PUPR,Batu,Mojorejo,Negative,Low,26,Open,108.52,,No,1132,2024,1,January,1,Tuesday,0,0,0,Low
CMP-06683,2024-01-09 18:35:17,Website,Jaringan internet gratis di Tulungrejo sering putus.,Public WiFi,DISKOMINFO,Junrejo,Tulungrejo,Negative,High,88,Resolved,15.9,2.65,No,2917,2024,1,January,1,Tuesday,1,0,0,High
CMP-06639,2024-01-09 18:58:05,Call Center,Pelayanan administrasi di Songgokerto terlalu lama.,Administrative Services,Dinas Kependudukan,Junrejo,Songgokerto,Negative,Critical,96,In Progress,5.74,,No,1037,2024,1,January,1,Tuesday,0,0,1,Critical
CMP-07730,2024-01-09 20:20:15,Instagram,Pedagang kaki lima di Ngaglik mengganggu ketertiban.,Public Safety,Satpol PP,Bumiaji,Ngaglik,Negative,Low,20,Resolved,31.34,6.06,Yes,3916,2024,1,January,1,Tuesday,1,1,0,Low
